id_cliente,forma_pago,precio,pais,tipo_carro
1,americanexpress,953498.13,Philippines,Audi
2,americanexpress,917333.39,Indonesia,Toyota
3,mastercard,501556.5,Japan,Subaru
4,visa,978187.79,Russia,Toyota
5,visa-electron,768939.34,Saint Kitts and Nevis,Mazda
6,americanexpress,753040.96,Vietnam,BMW
7,americanexpress,632421.88,Armenia,Buick
8,americanexpress,723345.24,China,Chevrolet
9,mastercard,881358.99,Greece,Acura
10,visa,517109.11,Portugal,Lexus
11,visa,614122.18,China,Mercedes-Benz
12,americanexpress,873708.75,Brazil,Lexus
13,mastercard,890697.32,Cyprus,Pontiac
14,visa,778860.36,Russia,Dodge
15,americanexpress,891938.08,Latvia,Nissan
16,visa,744739.43,Brazil,Buick
17,americanexpress,728339.58,China,Hyundai
18,visa,656430.35,Vietnam,Buick
19,visa-electron,555594.91,China,Volkswagen
20,visa-electron,770661.31,China,Chevrolet
21,americanexpress,785441.38,China,Mazda
22,mastercard,501012.42,United States,Volkswagen
23,americanexpress,934356.2,Indonesia,Mitsubishi
24,americanexpress,579205.83,Indonesia,Saturn
25,visa,601882.63,Indonesia,Isuzu
26,visa-electron,513676.5,Poland,Hyundai
27,visa-electron,517218.75,Namibia,Mercedes-Benz
28,mastercard,611278.13,China,Plymouth
29,visa-electron,687603.64,China,Nissan
30,visa,812170.53,Brazil,Audi
31,visa-electron,845644.31,Norway,Honda
32,visa,956666.91,Sweden,Nissan
33,mastercard,958842.3,China,Ford
34,visa-electron,622020.17,China,Acura
35,mastercard,742496.01,China,Cadillac
36,mastercard,893482.85,Brazil,Buick
37,visa,823778.83,China,Volvo
38,visa-electron,859789.27,Philippines,Pontiac
39,americanexpress,771290.95,Malaysia,Honda
40,visa,950240.51,Tanzania,Toyota
41,visa-electron,932418.9,Canada,Mercedes-Benz
42,mastercard,614878.95,Ireland,Volvo
43,mastercard,750017.46,Brazil,Mitsubishi
44,americanexpress,688528.02,Russia,Dodge
45,americanexpress,592756.45,Philippines,Audi
46,mastercard,738187.1,Ukraine,Honda
47,americanexpress,970856.8,Poland,Mitsubishi
48,visa,568105.21,France,GMC
49,americanexpress,759478.29,Indonesia,Lincoln
50,mastercard,647540.91,Ghana,Honda
51,visa,777055.6,Japan,Kia
52,mastercard,909985.84,China,GMC
53,visa,818293.46,Indonesia,Ford
54,visa,759947.17,China,Hummer
55,americanexpress,519996.71,Russia,Lexus
56,visa,535102.74,Colombia,Mitsubishi
57,mastercard,764016.92,French Polynesia,Mazda
58,visa-electron,891267.84,Samoa,Mitsubishi
59,visa,655622.16,China,Mitsubishi
60,visa,596921.88,Cuba,GMC
61,visa,629040.87,Indonesia,Mazda
62,visa,589544.95,Philippines,Toyota
63,mastercard,889850.27,China,Mercury
64,visa-electron,604280,Philippines,Volvo
65,mastercard,630706.06,Syria,Chevrolet
66,mastercard,602432.77,Ukraine,Volkswagen
67,mastercard,724590.74,Armenia,GMC
68,visa-electron,887558.11,Iceland,Ford
69,visa,842656.01,Russia,Chrysler
70,visa-electron,958191.79,Poland,GMC
71,mastercard,751439.32,Thailand,Infiniti
72,mastercard,956539.5,Slovenia,Saab
73,americanexpress,781772.48,Mongolia,Chevrolet
74,visa,556594.49,China,Dodge
75,visa-electron,655194.33,Georgia,Dodge
76,americanexpress,889773.4,Brazil,Mercedes-Benz
77,mastercard,657294.07,Sweden,Hummer
78,mastercard,910554.24,Vietnam,Audi
79,visa,698185.15,Argentina,Toyota
80,mastercard,982139.09,Russia,Cadillac
81,visa-electron,822745.74,China,Saab
82,americanexpress,902435.56,Poland,Volkswagen
83,visa,741423.07,China,Lamborghini
84,mastercard,518505.69,China,Nissan
85,visa,946279.65,Indonesia,Buick
86,visa,648648.59,Czech Republic,Mercedes-Benz
87,americanexpress,966162.18,Mexico,GMC
88,visa,557124.93,Ukraine,Audi
89,visa,754564.72,Japan,Mercedes-Benz
90,visa-electron,783801.1,New Zealand,Aston Martin
91,visa-electron,529670.16,China,Toyota
92,visa-electron,562828.57,Indonesia,Toyota
93,visa-electron,852675.54,Indonesia,Lexus
94,mastercard,624861.39,United States,MINI
95,mastercard,594582.99,Peru,Cadillac
96,visa-electron,628570.53,Georgia,Lexus
97,mastercard,593175.02,Colombia,Hyundai
98,visa,743089.39,Belarus,Subaru
99,visa,532998.96,Philippines,Dodge
100,mastercard,577873.36,China,Toyota
101,visa,966575.98,Kenya,Porsche
102,mastercard,916366.55,Peru,Mitsubishi
103,visa-electron,825046.83,Iraq,Lexus
104,americanexpress,563654.24,China,Toyota
105,visa-electron,880403.14,Russia,Chevrolet
106,mastercard,665238.85,China,Lexus
107,americanexpress,581816.77,Croatia,Infiniti
108,americanexpress,598667.61,France,Acura
109,mastercard,543703.94,China,Volkswagen
110,visa-electron,914453.96,Czech Republic,BMW
111,americanexpress,983779.15,Dominican Republic,Dodge
112,visa,501998.04,Sweden,GMC
113,americanexpress,895732.87,Malta,Mazda
114,visa-electron,894228.8,China,Hyundai
115,americanexpress,712710.32,Indonesia,Mazda
116,visa,854904.03,North Korea,Hyundai
117,americanexpress,903486.13,Yemen,Jaguar
118,visa,927815.49,Indonesia,Kia
119,americanexpress,875318.63,Benin,Honda
120,visa-electron,816050.95,Greece,Maybach
121,americanexpress,886708.83,China,Mitsubishi
122,mastercard,629961.14,Bangladesh,Bentley
123,americanexpress,518511.85,Japan,GMC
124,mastercard,725196.82,Ireland,GMC
125,visa-electron,585996.21,Greece,Honda
126,visa,794639.89,Ukraine,Mercury
127,visa,686472.96,Russia,Dodge
128,visa,810871.25,France,Ford
129,visa-electron,785762.48,Indonesia,Honda
130,visa,729637.56,China,Mitsubishi
131,mastercard,592796.87,Indonesia,Mitsubishi
132,visa,790585.17,China,Chevrolet
133,mastercard,749992.68,Philippines,Audi
134,americanexpress,695768.55,Bosnia and Herzegovina,Suzuki
135,visa,862199.05,Netherlands,Suzuki
136,visa-electron,988231.54,Portugal,Plymouth
137,americanexpress,886177.58,Argentina,Chevrolet
138,mastercard,508880.87,Philippines,Mazda
139,mastercard,620260.65,Poland,Lexus
140,americanexpress,548501.47,Philippines,Land Rover
141,visa,856904.37,Western Sahara,Mercedes-Benz
142,visa,810928.12,Russia,Mercury
143,americanexpress,592248.99,China,Mercedes-Benz
144,americanexpress,875232.68,Finland,Chevrolet
145,mastercard,884145.53,South Africa,Toyota
146,americanexpress,889021.72,China,Mazda
147,visa-electron,645272.42,Greece,Volkswagen
148,visa,776882.89,Russia,Honda
149,mastercard,583876.34,Indonesia,Chevrolet
150,mastercard,562844.1,Poland,Suzuki
151,visa-electron,784586.01,Russia,GMC
152,americanexpress,842037.8,Argentina,Mercedes-Benz
153,visa-electron,652465.8,North Korea,Acura
154,visa,593079.07,Greece,Ford
155,americanexpress,994980.04,Philippines,GMC
156,mastercard,536518.89,Sweden,Chevrolet
157,visa,654943,China,Ford
158,mastercard,791037.26,Colombia,Buick
159,americanexpress,864298.95,Finland,BMW
160,americanexpress,843648.51,Indonesia,Ford
161,visa-electron,871933.13,Sweden,Mitsubishi
162,americanexpress,719687.77,Russia,GMC
163,visa,993382.59,Norway,Hyundai
164,visa,971350.15,Russia,Suzuki
165,mastercard,723665.59,Argentina,Mazda
166,visa-electron,827724.92,Bolivia,Nissan
167,visa,512719.19,New Zealand,Mitsubishi
168,mastercard,981478.49,Nicaragua,Dodge
169,visa,619677.68,China,BMW
170,visa,678933.45,Canada,Honda
171,americanexpress,500184.24,Sweden,Land Rover
172,visa-electron,831378.44,Serbia,Dodge
173,visa,675423.72,United States,Hyundai
174,visa-electron,652584.06,Russia,Toyota
175,visa-electron,720235.87,China,Mazda
176,mastercard,773484.21,China,Toyota
177,americanexpress,572221.33,Portugal,Nissan
178,visa-electron,831365.6,Venezuela,BMW
179,visa-electron,563918.06,Colombia,Mitsubishi
180,americanexpress,668827.15,Czech Republic,Buick
181,americanexpress,911577.65,China,Jeep
182,mastercard,546193.43,Sweden,Toyota
183,americanexpress,709763.57,Portugal,Lexus
184,mastercard,668419.33,Bulgaria,Land Rover
185,visa-electron,915522.02,China,Acura
186,mastercard,998827.08,Indonesia,Bentley
187,visa,868461.09,Sweden,Toyota
188,americanexpress,738650.94,Philippines,Audi
189,mastercard,749578.51,Sweden,Ford
190,americanexpress,747259.61,Lithuania,Ford
191,visa-electron,545935.82,Russia,Chevrolet
192,mastercard,687489.92,Philippines,GMC
193,visa,669535.4,Brazil,Bentley
194,visa,804826.5,Russia,Mazda
195,visa-electron,808658.4,Puerto Rico,Mercury
196,mastercard,917064.6,China,Infiniti
197,mastercard,856333.08,Kazakhstan,Mitsubishi
198,visa,941887.18,Argentina,GMC
199,mastercard,820165.48,Peru,Mitsubishi
200,visa-electron,754697.46,Indonesia,Audi
201,visa-electron,975159.63,Panama,Mazda
202,americanexpress,814189.62,China,Chevrolet
203,americanexpress,545583.29,China,Ford
204,visa-electron,760664.97,Russia,GMC
205,americanexpress,990147.64,Portugal,Lincoln
206,mastercard,736064.59,Tajikistan,Pontiac
207,mastercard,733128.61,Lithuania,Toyota
208,visa-electron,824154.23,South Korea,Ford
209,visa,993016.21,Peru,Toyota
210,visa-electron,596506.53,Vietnam,Chevrolet
